email, senha
0.6203131125254946@mail.com,user123 
0.26523195854046977@mail.com,user123
0.23195780725500156@mail.com,user123
0.532632473683966@mail.com,user123  
0.5147608639065191@mail.com,user123 
0.5688871719936276@mail.com,user123 
0.9434290780840491@mail.com,user123 
0.7474298475048627@mail.com,user123 
0.6766969762470181@mail.com,user123 
0.5242289464038736@mail.com,user123 
0.3139416482726455@mail.com,user123 
0.06476865554660995@mail.com,user123
0.6928197182417504@mail.com,user123 
0.5106179917896221@mail.com,user123 
0.7141868359091668@mail.com,user123 
0.10777872280158204@mail.com,user123
0.6366300127955639@mail.com,user123 
0.14525055565486378@mail.com,user123
0.9504622960040812@mail.com,user123 
0.8920034366429395@mail.com,user123 
0.08289274062203375@mail.com,user123
0.5378149931112768@mail.com,user123 
0.3291131476043402@mail.com,user123 
0.1463486235101493@mail.com,user123 
0.9052237103402048@mail.com,user123 
0.5037662870063933@mail.com,user123 
0.42063014610142@mail.com,user123   
0.6049807256293942@mail.com,user123 
0.3561173669765009@mail.com,user123 
0.9023675755012781@mail.com,user123 
0.8667455522818486@mail.com,user123 
0.30909344436147196@mail.com,user123
0.9273688304797298@mail.com,user123 
0.6677848079349795@mail.com,user123 
0.6967363390044072@mail.com,user123 
0.8576753894290503@mail.com,user123 
0.9765010622663439@mail.com,user123 
0.4674962478819302@mail.com,user123 
0.6617816047244279@mail.com,user123 
0.637181904065864@mail.com,user123  
